명칭
구례 석주관 칠의사묘
주금산
화야산
연곡해변(연곡해수욕장)
첨모재·사효당
천왕근린공원
수원 화성 [유네스코 세계문화유산]
첨도
육림랜드
삼척 준경묘
두타산성
장곡사(충남)
진천 길상사
기회송림
기림사
대원사(산청)
송호해수욕장
강진 고려청자 요지
김녕사굴 [유네스코 세계자연유산]
천지연폭포 (제주도 국가지질공원)
서울 방이동 고분군
무악산 동봉수대 터
운문댐. 동창천
관룡사
와현모래숲해변
궁촌해변(궁촌해수욕장)
"두곡, 월포해수욕장"
백월산
문암2리해변
인각사
하조도
양양선림원지
흑석산 자연휴양림
운흥정
하저해수욕장 (하저리 해수욕장)
청주 신전동 고가
금산공원(납읍난대림지대)
고령 장기리 암각화
고운동계곡
소양호(양구)
배내골
화석정
우이도 돈목해수욕장
부산다이아몬드타워
강화 참성단
대전해수욕장
저도(딱섬)
선본사(경산)
부산광안대교
명주사(양양)
교촌농촌체험마을
바우덕이 묘
창녕 석빙고
중앙탑공원(충주)
통일전(경주)
전촌솔밭해변
화적연 (한탄강 국가지질공원)
강릉 심상진가옥
속초 엑스포타워
바람아래해수욕장
장돌해수욕장
남해대교유람선
추암 촛대바위
덕천해수욕장
우도마을
김공 휘 유경 효자문·김공 휘 홍익 충신문
가나아트파크
장봉도 진촌해변
왕산해수욕장
연미정
춘천댐
청자골엄지마을
울산테마식물수목원
삼청동오위장김춘영가옥
광한루
부안향교
박곡서당
달성 조길방가옥
수봉정사
회진당원의대사지비
두남제
신룡동오층석탑
대정향교
충익사 의병탑
경장각
충무교와 통영운하
옥오재
박팽년선생유허비
창계숭절사
장판각
구암사(진도군)
박상진의사 생가
태인향교
탑정저수지
홍산동헌
홍산객사
신창향교
박약재
아산 윤보선 대통령 생가
결성향교
충주 창동리 마애여래상
제천 자양영당
호국무공수훈자공적비
오도산
제주 청수마을
영춘향교
면천향교
여산향교
창평향교
연기향교
월강서원
도연서원
오계서원
구룡산 장승공원
구계서원
소계서원
황곡서원
보현산(영천)
제주 동백마을
실상암
외가집
수도박물관
보령석탄박물관
대청댐 물문화관
하화도(여수)
아이니테마파크(대구 스타디움점)
함양 화림동 거연정 일원
피노파밀리아
정남진 전망대
구 서울대학교 본관
인천항 갑문홍보관
어린이 감각놀이터 디키디키
대성산지구 전적비
두타연 평화누리길
양구 해시계
한반도통일미래센터
교하동 고인돌 산림욕장
땅땅랜드(대구 봉무동)
모항갯벌체험장
류순정·류홍 부자 묘역
정동진역
허난설헌 솔숲
뱀사골 와운마을
수풀로 양수리
무주구천동 월하탄 계곡
창원 장미공원
추도
소백산 천문대
부여금사리성당
부여 반교마을
다이노스타 (용인)
삼칭이길
태백 경찰서 망루
영덕 대부정합 (경북 동해안 국가지질공원)
"송곳봉 (울릉도, 독도 국가지질공원)"
구상반려암 (부산 국가지질공원)
적벽 (무등산권 국가지질공원)
좌상바위 (한탄강 지질공원)
양구백토 (강원평화지역 국가지질공원)
한두레마을
미리미동국 (진장 문화예술 플랫폼)
청와대
화서문(華西門)
수원향교
기억의 터(일본군 위안부)
안녕인사동
국립청소년우주센터
함정균가옥
홍천 열목어마을
통리탄탄파크
하늘정원
벗고개
배바우청정마을
샤이니숲길
상가리야자숲
대련사
법흥사(남해)
불암사(남양주)
원갑사
용흥사(담양)
여귀산
호국지장사(서울)
원주변씨간재종택 및 간재정
통영대교
순긋해변
제주마방목지
더마파크
속리산 산채비빔밥 거리
장흥 방촌리 지석묘군
부춘정원림
횡계 오삼불고기 거리
원평허브농원
가학동지석묘
옥천 이지당
봉산동당간지주
태하향목 관광모노레일
소안항
군창지
무주 금척마을(금자마을)
숲옛마을(갈계)
이태원 앤틱 가구 거리
한강시민공원 망원지구(망원한강공원)
마한문화공원
용산성당
효자촌 먹거리촌
신북 오리촌
큰장길 침구류 명물거리
금오서원
국립 신불산폭포자연휴양림
청룡사(안성)
오두산 통일전망대
함백산
무릉계곡 용추폭포(강원)
천진해변
도피안사(철원)
신원사
성주 세종대왕자 태실
선암사계곡
원효사
산방굴사(제주)
외돌개(제주)
개운사(서울)
서서울호수공원
신도해변
돌산 평사리 고니도래지
가진해변
민락수변공원
부산 차이나타운특구(상해문.상해거리)
공주 계룡산 중악단
서현동 먹거리촌
남해 가천 해변과 암수바위
구문소 (강원고생대 국가지질공원)
수타사계곡
사나사(양평)
홀통유원지·홀통해변
고사포해수욕장
금광호수
여좌천(벚꽃명소)
동해 해암정
정도마을
서산 경주김씨 고택
울릉도 등대(태하등대)
백지사터
동학농민혁명기념탑
연제 안승갑 고가
백석서원
청련암(대구)
도성암
서계서원
고산향교대성전
서귀본향당
정의향교
지산재
광주동오층석탑
경주 지마왕릉
화담사
영사재
망진산 봉수대
취백정
문충사
인쇄거리
광양 옥룡사지
보문산마애여래좌상
금강사(강진)
김남주 생가
삼일사
주진천
하우현성당
은진향교 대성전
서정우 가옥
충주향교
제천 엽연초생산조합 구사옥
제천 장락동 칠층모전석탑
충주 창동리 오층석탑
강원 영월 김삿갓면 [슬로시티]
대흥동 문화예술의거리
제지기오름
나주 순교성지
증평 좌구산천문대
청양향교
담양향교
흥해향교
마산향교
반구서원
매산서원
동명서원
산양서원
원계서원
창대서원
창덕리 남근석
고성 덕명리 공룡과 새발자국 화석 산지
국우동 탱자나무
서부 오미(味)가미(味)거리
반고개 무침회 골목
인동촌 아나고골목
비학봉마을
원주 학곡마을
다자연 녹차단지
대명공연문화거리
제주불빛정원
광주 평촌마을
꾸메숲 버섯나라
자란도
안동계명산자연휴양림
칠성전망대
해산전망대
임진강 황포돛배
용늪자연생태학교
용화저수지
수길원
안동 놀팍
대구 동성로거리
인천대공원 반려동물 놀이터
단양강 잔도
허난설헌 생가터
초량 이바구길
평창동 갤러리 거리
전주 산성벽화마을
청초호 둘레길
소쿠리섬
문경 가은오픈세트장
포항 덕동문화마을
"연의근린공원(생태학습관, 북카페)"
일산 대화동 먹자골목
화정 문화의거리
수원통닭거리
경주 최준선생 생가 (경주최부자댁)
"도동 해안산책로 (울릉도,독도 국가지질공원)"
은대리 판상절리와 습곡구조 (한탄강 국가지질공원)
초당두부마을
연세로
금정산성마을 먹거리촌
춘천 명동 닭갈비 골목
구례 섬진강 벚꽃길
분천역(봉화)
닭머르해안길
정서진
방아머리해수욕장
이태원길(대구)
스파크랜드
마이산 벚꽃길
의암호자전거길(봄내길코스)
고석정 꽃밭
미국마을
오로라파크
안성리수국길
금장대 수변공원
오시리아 해안산책로
광천 오서산 벚꽃길
지리산 황전마을
난동마을
진뚜루 마중길
서귀포칠십리시공원
송당무끈모루
코난해변
임진강댑싸리공원
그리팅맨
재인폭포 출렁다리
구암사(순창)
남원사(익산)
백련사(서울)
봉녕사(수원)
창녕포교당
천성사
해운사(구미)
철원 평화전망대
청마거리
운암뜰 한식거리
천서리 막국수촌
용문산 토속음식마을
옥천리 냉면마을
행주외동 장어마을
풍동 애니골
의정부 부대찌개거리
삼봉리 한식마을
돌다리 곱창골목
포천 이동갈비마을
국립 백운산자연휴양림(원주)
낙원동 아구찜 거리
신당동 떡볶이 골목
군위향교
화산산성
입암산
국립 대야산자연휴양림
공덕동 족발 골목
부평 해물탕거리
아현동 전골목
영등포 신길동 홍어거리
청주동물원
신선경과 류인호 묘역
증평 증안골마을
괴산 고산정 및 제월대
안동 진성이씨 종택 (안동주하동경류정종택)
청송 홍원리 개오동나무
영동 흥학당
완도 맹선리 상록수림
서산 꽃송아리마을
옥산서원
영양 주실마을
모평마을
산지천
재난안전체험관
혈도(활목섬)
보라매안전체험관
이심원충신정려현판
